iter	Passed	Remaining
629	43629	39474
630	43700	39407
631	43766	39334
632	43832	39262
633	43896	39188
634	43967	39120
635	44022	39038
636	44088	38967
637	44149	38890
638	44213	38816
639	44280	38745
640	44351	38678
641	44413	38602
642	44489	38538
643	44551	38463
644	44619	38393
645	44680	38316
646	44741	38241
647	44811	38172
648	44893	38114
649	44964	38047
650	45028	37973
651	45094	37901
652	45163	37832
653	45222	37754
654	45291	37685
655	45361	37616
656	45431	37548
657	45489	37470
658	45554	37397
659	45622	37327
660	45704	37269
661	45773	37199
662	45847	37134
663	45907	37057
664	45971	36984
665	46039	36914
666	46111	36847
667	46185	36782
668	46256	36714
669	46313	36635
670	46387	36570
671	46459	36503
672	46529	36435
673	46598	36366
674	46670	36299
675	46730	36223
676	46805	36158
677	46875	36089
678	46946	36022
679	47006	35945
680	47072	35874
681	47132	35798
682	47204	35731
683	47270	35659
684	47348	35597
685	47417	35528
686	47482	35456
687	47543	35381
688	47622	35319
689	47684	35245
690	47742	35167
691	47808	35096
692	47884	35032
693	47954	34963
694	48029	34899
695	48093	34826
696	48166	34760
697	48233	34689
698	48313	34627
699	48372	34552
700	48435	34478
701	48488	34398
702	48547	34321
703	48617	34253
704	48690	34187
705	48746	34108
706	48815	34039
707	48884	33970
708	48948	33898
709	49013	33826
710	49093	33764
711	49161	33695
712	49231	33626
713	49301	33558
714	49381	33496
715	49443	33422
716	49513	33353
717	49580	33283
718	49650	33215
719	49717	33144
720	49789	33077
721	49855	33006
722	49946	32952
723	50020	32886
724	50092	32819
725	50163	32751
726	50253	32695
727	50326	32629
728	50409	32569
729	50476	32498
730	50554	32435
731	50623	32365
732	50697	32299
733	50763	32228
734	50832	32159
735	50897	32087
736	50979	32026
737	51056	31961
738	51123	31891
739	51185	31818
740	51258	31751
741	51330	31683
742	51409	31620
743	51474	31548
744	51552	31484
745	51617	31413
746	51680	31340
747	51747	31269
748	51836	31212
749	51897	31138
750	51960	31065
751	52018	30989
752	52076	30913
753	52126	30833
754	52183	30757
755	52238	30679
756	52293	30602
757	52345	30523
758	52397	30444
759	52470	30377
760	52541	30309
761	52605	30237
762	52669	30166
763	52721	30086
764	52777	30010
765	52834	29935
766	52891	29859
767	52945	29781
768	53004	29707
769	53069	29636
770	53134	29565
771	53184	29485
772	53241	29410
773	53291	29330
774	53346	29254
775	53393	29173
776	53452	29099
777	53506	29022
778	53563	28947
779	53615	28869
780	53669	28793
781	53722	28715
782	53781	28642
783	53836	28566
784	53895	28492
785	53944	28413
786	54000	28338
787	54045	28257
788	54101	28181
789	54179	28118
790	54250	28051
791	54315	27980
792	54388	27914
793	54453	27843
794	54531	27780
795	54593	27708
796	54660	27638
797	54720	27565
798	54798	27501
799	54860	27430
800	54933	27363
801	54988	27288
802	55052	27217
803	55117	27147
804	55179	27075
805	55236	27001
806	55307	26934
807	55372	26863
808	55443	26796
809	55494	26719
810	55547	26643
811	55604	26569
812	55665	26497
813	55717	26421
814	55777	26348
815	55841	26278
816	55910	26210
817	55974	26139
818	56040	26070
819	56099	25997
820	56167	25928
821	56222	25854
822	56288	25784
823	56356	25716
824	56424	25647
825	56485	25575
826	56557	25508
827	56620	25438
828	56681	25366
829	56741	25294
830	56804	25223
831	56870	25154
832	56937	25085
833	57003	25016
834	57074	24948
835	57130	24874
836	57205	24809
837	57269	24739
838	57353	24677
839	57415	24606
840	57483	24537
841	57543	24466
842	57614	24399
843	57668	24324
844	57737	24256
845	57805	24188
846	57881	24123
847	57958	24058
848	58018	23986
849	58091	23919
850	58169	23855
851	58223	23781
852	58293	23713
853	58363	23646
854	58440	23581
855	58498	23508
856	58556	23436
857	58613	23363
858	58688	23297
859	58753	23228
860	58842	23167
861	58899	23095
862	58959	23023
863	59011	22948
864	59070	22876
865	59125	22803
866	59175	22728
867	59220	22651
868	59273	22577
869	59321	22501
870	59397	22435
871	59462	22366
872	59530	22298
873	59586	22225
874	59650	22155
875	59712	22085
876	59781	22017
877	59837	21944
878	59902	21875
879	59962	21804
880	60032	21737
881	60103	21669
882	60177	21604
883	60238	21533
884	60314	21467
885	60385	21400
886	60459	21334
887	60521	21264
888	60598	21199
889	60663	21130
890	60736	21063
891	60802	20994
892	60874	20927
893	60940	20858
894	61008	20790
895	61076	20722
896	61143	20653
897	61210	20585
898	61272	20515
899	61329	20443
900	61395	20374
901	61464	20306
902	61539	20240
903	61604	20171
904	61674	20103
905	61737	20034
906	61807	19966
907	61871	19897
908	61945	19830
909	62014	19763
910	62089	19696
911	62151	19626
912	62226	19560
913	62286	19490
914	62356	19422
915	62417	19352
916	62487	19284
917	62553	19215
918	62622	19147
919	62691	19080
920	62759	19011
921	62828	18943
922	62876	18869
923	62937	18799
924	63027	18737
925	63096	18670
926	63164	18601
927	63227	18532
928	63301	18465
929	63369	18397
930	63457	18335
931	63535	18269
932	63615	18205
933	63684	18137
934	63773	18074
935	63837	18005
936	63930	17944
937	64000	17876
938	64066	17807
939	64124	17736
940	64196	17669
941	64264	17601
942	64343	17535
943	64414	17468
944	64495	17403
945	64556	17333
946	64637	17268
947	64706	17200
948	64776	17132
949	64830	17060
950	64898	16992
951	64962	16922
952	65039	16856
953	65107	16788
954	65168	16718
955	65228	16648
956	65303	16581
957	65374	16514
958	65451	16448
959	65511	16377
960	65574	16308
961	65635	16238
962	65704	16170
963	65771	16101
964	65839	16033
965	65907	15965
